Rank,Name,Team,R1,R2,R3,R4,R5,R6,R7,R8,Avg,Stdev,Num
87,Pan Haotian,🇸🇬Singapore,71.83,72.83,71.5,70.5,71.83,72.67,73,70.33,71.81,0.95,8
88,Khumo Kumalo,🇿🇦South Africa,71.33,—,72.5,72.83,70.5,—,—,—,71.79,0.93,4
89,Nicolas Ivanov,🇨🇿Czech Republic,70.5,70.67,72.67,72.17,72.67,72,70.67,72.83,71.77,0.94,8
90,Ryo Narukami,🇯🇵Japan,70.5,72.33,72,71.83,72.17,71.5,72,—,71.76,0.57,7
91,Beckett Lawrence-Apfelbaum,🇪🇸Spain,71,—,—,69.83,—,74.17,71.83,—,71.71,1.59,4
92,Arthur Sangwon Park,🇰🇷Korea,71.17,—,71.83,—,—,70.83,71.67,73,71.7,0.74,5
93,Nathan Fobian,🇿🇦South Africa,71.5,—,—,72.5,—,70.83,72.33,71.33,71.7,0.63,5
94,Maria Ilektra Plakitsi,🇬🇷Greece,—,71,72,70.83,73.33,72.83,69.83,72,71.69,1.12,7
95,Ante Čolak,🇭🇷Croatia,—,71,—,71,—,72.5,71.67,72.17,71.67,0.61,5
96,Sam Wire,🇳🇱Netherlands,—,72.17,71.33,72.5,71.33,70.83,72,71.33,71.64,0.55,7
97,Parth Goel,🇦🇪UAE,72.67,—,72.33,71.83,—,72,70.33,70.67,71.64,0.85,6
98,Nutchayathoch Jeinthanuttkanont,🇹🇭Thailand,70.5,74,72.67,71,71.83,70.17,72.83,69.83,71.6,1.38,8
99,Hugh Mejos,🇵🇭Philippines,71.17,—,71.67,71.67,73,67.83,72.83,72.67,71.55,1.65,7
100,Ignas Karvelis,🇱🇹Lithuania,70.33,—,72.17,71.67,73,70.67,71.17,71.67,71.52,0.84,7
101,Siyi Xu,🇩🇪Germany,71.83,71.17,73.17,70.67,72.83,70.5,—,70.5,71.52,1.03,7
102,Kristjan Suuder,🇪🇪Estonia,—,71.17,72,69.5,72.17,73,71,71.5,71.48,1.02,7
103,Russell Davis,🇿🇦South Africa,—,70,72.5,—,—,71.67,71.67,—,71.46,0.91,4
104,Mihai-Bogdan Raicu,🇷🇴Romania,73.33,71.67,70,71.33,—,70,72.17,71.67,71.45,1.09,7
105,Devina Nathania,🇮🇩Indonesia,—,71.33,71.67,70.83,—,—,70.83,72.33,71.4,0.56,5
106,Bao-Chau Hua,🇻🇳Vietnam,72.5,—,—,71.33,—,70.5,71.17,—,71.38,0.72,4
107,Diego García,🇲🇽Mexico,72.33,—,72,—,71.5,69.33,—,71.67,71.37,1.06,5
108,Leonidas Marinopoulos,🇬🇷Greece,70.5,—,72,—,—,71.67,—,71.17,71.33,0.57,4
109,Mirtel Etverk,🇪🇪Estonia,71.83,—,70.83,—,70.83,72.5,—,70.67,71.33,0.71,5
